Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.06993975521316132,-6.005475911613892,-0.9701492824539173,-5.648452495323454,0.23685440834156427 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.23861113543724159,-8.47339724594496,-1.4762871057880603,-7.825756545544323,0.16287082421551489 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-0.42693776409113096,-10.95000949772003,-1.981591185383536,-10.009924717134027,0.056978289931447229 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6297911197680288,-13.433084267758766,-2.500172746047042,-12.202614988907613,-0.0724548432908666 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.6761501940829108,-13.234888815675749,-2.5749154399136389,-12.060474732233275,-0.19075357566392335 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.737976879434692,-13.057423904036624,-2.599736065845377,-11.899515307684397,-0.2800079040458921 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.7840750096328241,-12.878779218689172,-2.620870466917438,-11.737918482562407,-0.3433458966230427 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.8192982820289018,-12.700183447472329,-2.629715273358329,-11.57427685840048,-0.3903071427726715 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.8531278488305578,-12.576539648668059,-2.634400220772477,-11.448732161223177,-0.42950315666611046 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.8824236030091408,-12.454361446735995,-2.6393563845014116,-11.317056354298814,-0.46554254178521717 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.9116346835018097,-12.333869749833891,-2.642164015860601,-11.185039652442697,-0.5001520216285321 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.9401695438747955,-12.215049277721186,-2.6445662307099839,-11.053669471985814,-0.5338273372782442 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.9729582480065387,-12.183058575528463,-2.675100041531664,-11.054002645416574,-0.5672747909373779 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.003333748821939,-12.152266089488844,-2.704506466876012,-11.058068204297343,-0.6006735533624728 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0358864217323245,-12.12325096127489,-2.7327374256950636,-11.062835321952833,-0.6341555232188684 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0662943561318055,-12.095718396179473,-2.761412892541273,-11.06788651833756,-0.6675542132235707 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-1.092326594158792,-11.973343483130755,-2.766265773229634,-10.970718284253735,-0.7000579343837843 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.1180298090389312,-11.851036130622902,-2.7711753276167885,-10.866999796064306,-0.7312685622157378 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-1.142934490266164,-11.728718657258633,-2.7756529164854557,-10.762597523853913,-0.7613119381284027 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.1671194694879226,-11.606410720222615,-2.7794339143453046,-10.658006519488709,-0.7904659076232077 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.1996381424394634,-11.607091158467398,-2.805353767927045,-10.65663364771143,-0.8201922499802526 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2296705190208755,-11.607635330905522,-2.833026326477807,-10.659494181517005,-0.851090676720923 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2623137531028015,-11.608292313765299,-2.8599458413133904,-10.663216556854423,-0.8831027648339884 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2931600026784767,-11.608871003195717,-2.8877921519386975,-10.667475520601557,-0.9156885345286626 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.322879461440908,-11.5825665114554,-2.9148479748823776,-10.670622698853322,-0.9480997346476645 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.3526326421769837,-11.557580554610953,-2.941170798269468,-10.673318665642455,-0.9799979125170695 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.3821554671451826,-11.533863269525377,-2.967339023008094,-10.675869421055495,-1.0114218785547516 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4114190797102555,-11.51133401517488,-2.9932565660840284,-10.678286944399247,-1.042503232316597 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-1.4428500680149135,-11.464147527715367,-3.0103624184908428,-10.63947689845213,-1.0739673597495807 
 01/01  07:30:00,-10.3,43.92919895502562,1.0,22.819555959623899,1.0,22.819555959623899,43.92919895502562,-1.3745750735780036,-9.791646248795445,-2.6138276818838905,-10.277623044345717,-1.0928469518648363 
 01/01  07:45:00,-10.15,217.30754917639187,1.0,109.75755355442667,1.0,109.75755355442667,217.30754917639187,-1.0386595658249185,-3.4376742604685854,-0.9103504971587313,-8.9506900000207,-1.065432081558416 
 01/01  08:00:00,-10.0,399.4699535945363,1.0,195.8764694434918,1.0,195.8764694434918,399.4699535945363,-0.6217403578005427,3.061718621193612,0.7665687938941801,-7.656556647409332,-0.9840770051489848 
 01/01  08:15:00,-9.725,585.1489314874541,1.0,278.97248314719988,1.0,278.97248314719988,585.1489314874541,-0.3214637606755034,8.240507997498167,2.2761992432887157,-6.516398354663238,-0.85580238167152 
 01/01  08:30:00,-9.45,784.787199245388,1.0,364.91995730569456,1.0,364.91995730569456,784.787199245388,0.02741187284831028,13.323060173482528,3.7837967278165935,-5.38816841620735,-0.6911554566345232 
 01/01  08:45:00,-9.175,921.7412871041541,1.0,420.35879993239237,1.0,420.35879993239237,921.7412871041541,0.24963153419626916,16.083282550229606,4.789125854738472,-4.6967927020655229,-0.507540135052447 
 01/01  09:00:00,-8.9,1065.0474005418728,1.0,478.00138373643099,1.0,478.00138373643099,1065.0474005418728,0.518453108304563,19.07923884910618,5.793929347071526,-3.9767889955166995,-0.3113240795880389 
 01/01  09:15:00,-8.350000000000002,1212.3134782022194,1.0,536.9185644770597,1.0,536.9185644770597,1212.3134782022194,0.7242978524096411,20.201416575256507,6.832871653407324,-3.178201655119892,-0.1008325284368 
 01/01  09:30:00,-7.800000000000001,1365.083720287943,1.0,598.0969199229219,1.0,598.0969199229219,1365.083720287943,0.9528031255066999,21.457897061720769,7.89547835637336,-2.398001176853427,0.12041718842715661 
 01/01  09:45:00,-7.25,1468.1999493442264,1.0,637.6133352894237,1.0,637.6133352894237,1468.1999493442264,1.1158167173263585,21.520742395591694,8.641684727055975,-1.868359420342017,0.3392549209586596 
 01/01  10:00:00,-6.7,1569.705828175432,1.0,676.6412284283772,1.0,676.6412284283772,1569.705828175432,1.292026555028779,21.68342751888359,9.359438267670669,-1.3319745842397879,0.5483946976116522 
 01/01  10:15:00,-6.275,1669.2149873773784,1.0,715.0112779846514,1.0,715.0112779846514,1669.2149873773784,1.5454817178080025,23.780478764283417,10.09389219977578,-0.5786528711224719,0.7516123639698098 
 01/01  10:30:00,-5.85,1766.190944948854,1.0,752.5077794605232,1.0,752.5077794605232,1766.190944948854,1.7832010092007316,25.71505371487589,10.815446709592834,0.14961066302225846,0.9536390501999255 
 01/01  10:45:00,-5.425,1740.4832380327117,1.0,742.5988714321785,1.0,742.5988714321785,1740.4832380327117,1.9075143538367184,25.566668975234216,10.871317635907986,0.43413322286801306,1.1408312829232186 
 01/01  11:00:00,-5.0,1702.0518597121073,1.0,727.8169025450712,1.0,727.8169025450712,1702.0518597121073,2.0286330364041476,25.336772654216806,10.834112341532432,0.6832118173546178,1.3041775345360285 
 01/01  11:15:00,-4.575,1635.6982778457269,1.0,700.3759009170325,1.0,700.3759009170325,1635.6982778457269,2.1057374190195179,24.593611712049268,10.619886740101265,0.8632735984572264,1.4400072050462705 
 01/01  11:30:00,-4.15,1584.1822507707826,1.0,681.6705029034473,1.0,681.6705029034473,1584.1822507707826,2.1997778596602179,24.262593839435039,10.509621427197658,1.1193963784145354,1.5546027567601555 
 01/01  11:45:00,-3.7249999999999998,1386.7884648429923,1.0,602.01865277251,1.0,602.01865277251,1386.7884648429923,2.105760826122253,21.233999398343543,9.541547642952992,0.8403481950191463,1.6333543085649336 
 01/01  12:00:00,-3.3,1130.2896420139664,1.0,493.55004396206007,1.0,493.55004396206007,1130.2896420139664,1.9309241280031353,17.05487623343285,8.087336235552698,0.28798270282999285,1.6610877501743682 
 01/01  12:15:00,-3.0249999999999996,926.9697700398867,1.0,412.335026418112,1.0,412.335026418112,926.9697700398867,1.8154897495314735,14.209444681437168,6.951783730755551,-0.09506097664404934,1.6445678876236599 
 01/01  12:30:00,-2.75,673.6692877186736,1.0,305.94037763660148,1.0,305.94037763660148,673.6692877186736,1.5884215725480302,10.035252356502394,5.40295384813578,-0.7287288969131396,1.5880947589235508 
 01/01  12:45:00,-2.475,612.4821658219637,1.0,281.0763483922329,1.0,281.0763483922329,612.4821658219637,1.5640058452220927,9.518009906182206,5.043063269586071,-0.6289425137172202,1.5243391107881895 
 01/01  13:00:00,-2.2,552.552520277972,1.0,256.7721209415886,1.0,256.7721209415886,552.552520277972,1.537012551510626,8.914420749247375,4.721803340079418,-0.5077853582746457,1.4736884503470283 
 01/01  13:15:00,-1.9250000000000003,449.8411357962977,1.0,210.73276284570657,1.0,210.73276284570657,449.8411357962977,1.4464949694885417,7.364902040639194,4.044021145600141,-0.6387054337744758,1.4313493413867356 
 01/01  13:30:00,-1.6500000000000002,396.7537665575463,1.0,189.38488290342594,1.0,189.38488290342594,396.7537665575463,1.4263881849556415,6.957250044859023,3.7365995056239287,-0.5459237100660062,1.396395988084208 
 01/01  13:45:00,-1.375,379.3266897359249,1.0,179.3940297802914,1.0,179.3940297802914,379.3266897359249,1.4329306626668704,7.07704274097258,3.632447863900609,-0.3349948965145586,1.3700635829637953 
 01/01  14:00:00,-1.1,361.3465167603399,1.0,169.43349014176136,1.0,169.43349014176136,361.3465167603399,1.4360667227254145,7.173336122079959,3.527929817997972,-0.12561940292960117,1.3515688526692278 
 01/01  14:15:00,-1.1,379.75098608822659,1.0,178.15692317953907,1.0,178.15692317953907,379.75098608822659,1.4797553142667577,7.986802066033571,3.6756223844051876,0.0008831669060782588,1.3427996048841764 
 01/01  14:30:00,-1.1,356.65544888641286,1.0,166.40516310952945,1.0,166.40516310952945,356.65544888641286,1.4501060322911044,7.62277882428156,3.4927647740396425,-0.09091145721339444,1.337562447033773 
 01/01  14:45:00,-1.1,299.30897077907687,1.0,140.8967369711617,1.0,140.8967369711617,299.30897077907687,1.372325454026155,6.414231556299394,3.0577645887598239,-0.3644577071476647,1.324381196521143 
 01/01  15:00:00,-1.1,245.01101588106585,1.0,116.57355796743004,1.0,116.57355796743004,245.01101588106585,1.2883882757391446,5.201438259633646,2.6228120335400719,-0.653352484615425,1.297637977419627 
 01/01  15:15:00,-1.1,193.3619366811613,1.0,93.14939272689483,1.0,93.14939272689483,193.3619366811613,1.2036327552735125,4.139028121936458,2.20249689319121,-0.884742807348232,1.2587491296742362 
 01/01  15:30:00,-1.1,119.36636342751545,1.0,57.94047897402063,1.0,57.94047897402063,119.36636342751545,1.0561927599436172,2.0084894610254988,1.5368758481225769,-1.318040297238781,1.2053294058429452 
 01/01  15:45:00,-1.1,91.9639739168048,1.0,45.38251793443488,1.0,45.38251793443488,91.9639739168048,1.0044939148199535,1.3887945872828834,1.2526465027780205,-1.4583193561548456,1.144612100971118 
 01/01  16:00:00,-1.1,63.83988587375654,1.0,32.02625108222755,1.0,32.02625108222755,63.83988587375654,0.9220731410701243,0.5132708690242862,0.9517923984506069,-1.6285258068646727,1.0826108132287043 
 01/01  16:15:00,-1.1,34.880124245395318,1.0,17.762198626050539,1.0,17.762198626050539,34.880124245395318,0.8119670731175674,-0.7545896471115671,0.6158055858433045,-1.9263193777084667,1.0167531650596305 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6556407711041815,-2.598659939507953,0.21948052778918737,-2.2401949322562588,0.9368930567603606 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6179923539278558,-2.7413361519448489,0.13096860676716916,-2.32271170836475,0.8525745753173618 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5631388764892179,-2.945479654423274,0.07560149071434808,-2.4139018696567975,0.7769892207579339 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5189262656762259,-3.091628189914469,0.005434249810377878,-2.558997358124884,0.7156984715995557 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4795824638015843,-3.2440161213884495,-0.051365923065020527,-2.689576027724854,0.6673501199894177 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.4435518596469809,-3.3957249955092005,-0.10690002338321847,-2.8253785201927714,0.6279867781177679 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.41035730773426096,-3.547488774957738,-0.1593548425192921,-2.960363472971153,0.5940657022611328 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.4069171579661015,-3.379977388830926,-0.17963652203422954,-2.955187005896164,0.5671507676539512 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.40258193844026787,-3.2962223654019087,-0.19381906552496276,-2.9641958768240217,0.5484785249001761 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,0.39350575665303058,-3.365350211196494,-0.21708458863406578,-3.0459212136944417,0.5362083502005832 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3868842313284893,-3.328054544990696,-0.22756163928369234,-3.078135376298178,0.5272867242193701 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.3961006428125391,-3.0229966221225976,-0.17753385964874725,-2.822892462046468,0.5211186376472924 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.40699878206973985,-2.721355955308404,-0.12562689278991003,-2.5649230113857586,0.5178090107273949 
 01/01  19:45:00,-1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.4192428210944681,-2.4212098763357319,-0.07185361832989656,-2.306183138091228,0.5170797050248123 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.43285180779655477,-2.1224858782772899,-0.016551062226881187,-2.0467812086362757,0.5184116246276523 
 01/01  20:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.40123818670290387,-2.419295037502992,-0.062422319014217467,-2.2555891816491,0.5162676705965157 
 01/01  20:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3667916803746112,-2.644083589348249,-0.11334148297123648,-2.4132075571000088,0.5057085115794326 
 01/01  20:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.31946575806572,-3.008583688209774,-0.17991273335098868,-2.6482349407174867,0.4847051361170018 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.267131297170698,-3.4833972813241655,-0.26218380903162599,-2.9091978673678797,0.4544000273379814 
 01/01  21:15:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.2918716447729591,-2.9684631276216084,-0.2316849338475322,-2.633420029062165,0.4282141799844382 
 01/01  21:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3082954752309628,-2.619733696501317,-0.18330910104248233,-2.4091548037132499,0.4142290154300678 
 01/01  21:45:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.32156461016855678,-2.3912959950640264,-0.14281731682410737,-2.2483774673075915,0.41116774198542535 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3373934395250404,-2.0937046140633819,-0.09465350746592094,-2.0262468032083236,0.4143297728912089 
 01/01  22:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3065209828848558,-2.397700635397287,-0.15690964602481473,-2.320238462193288,0.414793342954001 
 01/01  22:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2748611620769136,-2.7022791579485228,-0.23399361395809138,-2.620198532497227,0.40689633519952919 
 01/01  22:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.24060781661613829,-3.0072843295271465,-0.3126495115780017,-2.920132316072795,0.39028853289419976 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.20206531909551826,-3.31266864858007,-0.3939914882796529,-3.220305486262191,0.36686744466851348 
 01/01  23:15:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1829982678742258,-3.366122499536749,-0.42726204432858597,-3.2776052554572745,0.3415617769130376 
 01/01  23:30:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.16080079013341465,-3.4205293832481176,-0.45527515117635178,-3.336110262216266,0.3175618695099469 
 01/01  23:45:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.13902780911964816,-3.4748007430924714,-0.4841152969011091,-3.394933689548566,0.2954146703018483 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.11772261001979737,-3.5290689816301654,-0.512467999240414,-3.4536249795300479,0.2745480652128798 
